iter	Passed	Remaining
0	61	61470
1	61	30901
2	62	20739
3	62	15632
4	63	12560
5	63	10510
6	63	9046
7	64	7950
8	64	7094
9	64	6417
10	65	5866
11	65	5399
12	65	5004
13	66	4668
14	66	4373
15	66	4115
16	67	3887
17	67	3686
18	67	3507
19	68	3345
20	68	3198
21	68	3063
22	69	2941
23	69	2829
24	69	2726
25	70	2630
26	70	2541
27	70	2458
28	71	2385
29	71	2314
30	71	2248
31	72	2186
32	72	2128
33	72	2073
34	73	2020
35	73	1970
36	73	1923
37	74	1879
38	74	1836
39	74	1795
40	75	1759
41	75	1722
42	75	1686
43	76	1652
44	76	1620
45	76	1589
46	76	1560
47	77	1532
48	77	1505
49	77	1479
50	78	1453
51	78	1429
52	78	1407
53	79	1385
54	79	1364
55	79	1343
56	79	1322
57	80	1302
58	80	1284
59	80	1265
60	81	1250
61	81	1233
62	81	1216
63	82	1199
64	82	1183
65	82	1168
66	82	1154
67	82	1137
68	83	1123
69	83	1109
70	83	1097
71	84	1085
72	84	1073
73	84	1061
74	85	1049
75	85	1037
76	85	1026
77	85	1015
78	86	1005
79	86	994
80	86	986
81	87	976
82	87	966
83	87	956
84	87	945
85	88	937
86	88	927
87	88	918
88	88	910
89	89	902
90	89	894
91	89	886
92	90	878
93	90	871
94	90	864
95	91	858
96	91	850
97	91	843
98	91	836
99	92	829
100	92	823
101	92	814
102	92	808
103	93	802
104	93	796
105	93	790
106	94	784
107	94	778
108	94	773
109	94	767
110	95	761
111	95	756
112	95	751
113	96	746
114	96	741
115	96	736
116	96	730
117	97	725
118	97	720
119	97	715
120	97	711
121	98	706
122	98	700
123	98	695
124	98	690
125	98	686
126	99	681
127	99	676
128	99	672
129	99	667
130	100	663
131	100	659
132	100	655
133	100	651
134	101	647
135	101	643
136	101	640
137	101	635
138	102	631
139	102	628
140	102	625
141	102	621
142	103	618
143	103	614
144	103	611
145	103	608
146	104	604
147	104	601
148	104	598
149	105	595
150	105	592
151	105	589
152	105	586
153	106	583
154	106	581
155	106	578
156	107	575
157	107	572
158	107	569
159	108	567
160	108	564
161	108	561
162	108	558
163	109	556
164	109	553
165	109	550
166	109	548
167	110	545
168	110	543
169	110	541
170	111	539
171	111	536
172	111	534
173	112	531
174	112	529
175	112	526
176	112	524
177	113	522
178	113	520
179	113	517
180	113	514
181	114	512
182	114	510
183	114	507
184	114	505
185	115	503
186	115	501
187	115	499
188	115	496
189	116	494
190	116	492
191	116	491
192	116	488
193	117	486
194	117	484
195	117	482
196	118	481
197	118	479
198	118	477
199	118	475
200	119	473
201	119	471
202	119	470
203	119	468
204	120	466
205	120	464
206	120	462
207	121	460
208	121	459
209	121	457
210	121	455
211	122	454
212	122	452
213	122	450
214	123	449
215	123	447
216	123	445
217	123	443
218	124	442
219	124	440
220	124	439
221	124	437
222	125	436
223	125	434
224	125	433
225	126	431
226	126	430
227	126	428
228	126	427
229	127	425
230	127	424
231	127	422
232	127	421
233	128	419
234	128	418
235	128	416
236	129	415
237	129	413
238	129	412
239	129	410
240	130	409
241	130	408
242	130	406
243	130	405
244	131	404
245	131	402
246	131	401
247	131	400
248	132	398
249	132	397
250	132	395
251	132	394
252	133	393
253	133	392
254	133	390
255	133	389
256	134	388
257	134	386
258	134	386
259	135	385
260	135	383
261	135	382
262	136	381
263	136	380
264	136	379
265	136	377
266	137	376
267	137	375
268	137	374
269	138	373
270	138	372
271	138	371
272	138	370
273	139	369
274	139	367
275	139	366
276	140	365
277	140	364
278	140	363
279	140	362
280	141	361
281	141	360
282	141	359
283	142	358
284	142	357
285	142	355
286	142	354
287	143	353
288	143	352
289	143	351
290	143	350
291	144	349
292	144	348
293	144	347
294	144	346
295	145	345
296	145	344
297	145	343
298	146	342
299	146	341
300	146	340
301	146	339
302	147	338
303	147	337
304	147	336
305	148	335
306	148	334
307	148	333
308	148	332
309	149	332
310	149	331
311	149	330
312	150	329
313	150	328
314	150	327
315	150	326
316	151	325
317	151	324
318	151	323
319	151	322
320	152	321
321	152	320
322	152	320
323	153	319
324	153	318
325	153	317
326	154	316
327	154	316
328	154	315
329	154	314
330	155	313
331	155	312
332	155	311
333	155	310
334	156	309
335	156	309
336	156	308
337	156	307
338	157	306
339	157	305
340	157	304
341	157	303
342	158	303
343	158	302
344	158	301
345	158	300
346	159	299
347	159	299
348	159	298
349	160	297
350	160	296
351	160	295
352	160	295
353	161	294
354	161	293
355	161	292
356	162	291
357	162	291
358	162	290
359	162	289
360	163	288
361	163	287
362	163	287
363	163	286
364	164	285
365	164	284
366	164	283
367	164	283
368	165	282
369	165	281
370	165	280
371	165	280
372	166	279
373	166	278
374	166	278
375	167	277
376	167	276
377	167	275
378	167	275
379	168	274
380	168	273
381	168	273
382	169	272
383	169	271
384	169	271
385	169	270
386	170	269
387	170	268
388	170	268
389	170	267
390	171	266
391	171	266
392	171	265
393	172	264
394	172	264
395	172	263
396	172	262
397	173	261
398	173	261
399	173	260
400	174	260
401	174	259
402	174	258
403	174	257
404	175	257
405	175	256
406	175	255
407	175	255
408	176	254
409	176	253
410	176	253
411	176	252
412	177	251
413	177	251
414	177	250
415	177	249
416	178	249
417	178	248
418	178	247
419	179	247
420	179	246
421	179	246
422	180	245
423	180	244
424	180	244
425	180	243
426	181	242
427	181	242
428	181	241
429	181	241
430	182	240
431	182	239
432	182	239
433	183	238
434	183	238
435	183	237
436	183	236
437	184	236
438	184	235
439	184	234
440	184	234
441	185	233
442	185	233
443	185	232
444	185	231
445	186	231
446	186	230
447	186	230
448	187	229
449	187	228
450	187	228
451	187	227
452	188	227
453	188	226
454	188	226
455	188	225
456	189	224
457	189	224
458	189	223
459	189	222
460	190	222
461	190	221
462	190	221
463	190	220
464	191	220
465	191	219
466	191	218
467	192	218
468	192	217
469	192	217
470	192	216
471	193	215
472	193	215
473	193	214
474	193	214
475	194	213
476	194	213
477	194	212
478	194	211
479	195	211
480	195	210
481	195	210
482	196	209
483	196	209
484	196	208
485	196	208
486	197	207
487	197	207
488	197	206
489	197	206
490	198	205
491	198	204
492	198	204
493	199	203
494	199	203
495	199	202
496	199	202
497	200	201
498	200	201
499	200	200
500	200	200
501	201	199
502	201	199
503	201	198
504	202	198
505	202	197
506	202	197
507	203	196
508	203	196
509	203	195
510	203	195
511	204	194
512	204	194
513	204	193
514	204	193
515	205	192
516	205	191
517	205	191
518	206	191
519	206	190
520	206	190
521	207	189
522	207	189
523	207	188
524	207	188
525	208	187
526	208	187
527	208	186
528	209	186
529	209	185
530	209	185
531	209	184
532	210	184
533	210	183
534	210	183
535	211	182
536	211	182
537	211	181
538	211	181
539	212	180
540	212	180
541	212	179
542	213	179
543	213	178
544	213	178
545	213	177
546	214	177
547	214	176
548	214	176
549	214	175
550	215	175
551	215	174
552	215	174
553	215	173
554	216	173
555	216	172
556	216	172
557	217	172
558	217	171
559	217	171
560	218	170
561	218	170
562	218	169
563	218	169
564	219	168
565	219	168
566	219	167
567	219	167
568	220	166
569	220	166
570	220	165
571	221	165
572	221	164
573	221	164
574	221	164
575	222	163
576	222	163
577	222	162
578	223	162
579	223	161
580	223	161
581	223	160
582	224	160
583	224	159
584	224	159
585	224	158
586	225	158
587	225	158
588	225	157
589	226	157
590	226	156
591	226	156
592	226	155
593	227	155
594	227	154
595	227	154
596	227	153
597	228	153
598	228	152
599	228	152
600	229	152
601	229	151
602	229	151
603	229	150
604	230	150
605	230	149
606	230	149
607	230	148
608	231	148
609	231	147
610	231	147
611	232	147
612	232	146
613	232	146
614	232	145
615	233	145
616	233	144
617	233	144
618	234	144
619	234	143
620	234	143
621	234	142
622	235	142
623	235	141
624	235	141
625	236	141
626	236	140
627	236	140
628	236	139
629	236	139
630	237	138
631	237	138
632	237	137
633	238	137
634	238	137
635	238	136
636	238	136
637	239	135
638	239	135
639	239	134
640	239	134
641	240	133
642	240	133
643	240	133
644	240	132
645	241	132
646	241	131
647	241	131
648	242	130
649	242	130
650	242	130
651	242	129
652	243	129
653	243	128
654	243	128
655	244	127
656	244	127
657	244	127
658	244	126
659	245	126
660	245	125
661	245	125
662	246	125
