iter	Passed	Remaining
0	59	59022
1	59	29644
2	59	19847
3	60	14953
4	60	12014
5	60	10053
6	61	8658
7	61	7609
8	61	6789
9	62	6151
10	62	5628
11	63	5190
12	63	4813
13	63	4489
14	64	4208
15	64	3962
16	64	3745
17	65	3552
18	65	3376
19	65	3219
20	65	3076
21	66	2947
22	66	2830
23	66	2721
24	67	2622
25	67	2530
26	67	2446
27	68	2367
28	68	2292
29	68	2222
30	69	2160
31	69	2100
32	70	2076
33	71	2024
34	71	1976
35	72	1928
36	72	1882
37	72	1837
38	72	1796
39	73	1759
40	73	1720
41	73	1684
42	74	1652
43	74	1618
44	74	1586
45	75	1556
46	75	1527
47	75	1499
48	75	1472
49	76	1447
50	76	1424
51	76	1402
52	77	1380
53	77	1360
54	78	1344
55	78	1325
56	79	1307
57	79	1290
58	79	1271
59	80	1254
60	80	1237
61	80	1221
62	81	1206
63	81	1190
64	81	1174
65	81	1159
66	82	1144
67	82	1129
68	82	1116
69	82	1102
70	83	1089
71	83	1077
72	83	1066
73	84	1057
74	84	1047
75	85	1038
76	86	1031
77	86	1022
78	86	1013
79	87	1004
80	87	995
81	88	985
82	88	973
83	88	964
84	88	955
85	89	946
86	89	937
87	89	929
88	90	921
89	90	913
90	90	905
91	90	896
92	91	889
93	91	882
94	91	875
95	92	868
96	92	862
97	92	855
98	93	848
99	93	841
100	93	834
101	94	827
102	94	822
103	94	816
104	95	810
105	95	804
106	95	798
107	96	793
108	96	787
109	96	781
110	96	775
111	97	769
112	97	764
113	97	758
114	97	753
115	98	748
116	98	742
117	98	737
118	99	733
119	99	729
120	99	725
121	100	720
122	100	715
123	100	711
124	101	707
125	101	704
126	101	699
127	102	695
128	102	691
129	102	687
130	102	683
131	103	678
132	103	674
133	103	670
134	104	666
135	104	662
136	104	658
137	104	655
138	105	651
139	105	648
140	105	644
141	105	640
142	106	636
143	106	633
144	106	630
145	107	627
146	107	623
147	107	620
148	108	617
149	108	613
150	108	610
151	108	607
152	109	603
153	109	600
154	109	598
155	110	595
156	110	592
157	110	589
158	110	587
159	111	584
160	111	580
161	111	577
162	111	574
163	112	571
164	112	569
165	112	566
166	112	563
167	113	560
168	113	558
169	113	556
170	114	554
171	114	552
172	114	549
173	115	547
174	115	544
175	115	542
176	116	540
177	116	538
178	116	536
179	117	533
180	117	531
181	117	529
182	117	526
183	118	524
184	118	522
185	118	520
186	119	518
187	119	515
188	119	513
189	119	511
190	120	509
191	120	506
192	120	504
193	121	502
194	121	500
195	121	498
196	121	496
197	122	495
198	122	493
199	122	491
200	123	489
201	123	487
202	123	486
203	124	484
204	124	482
205	124	480
206	125	478
207	125	476
208	125	475
209	125	473
210	126	471
211	126	469
212	126	468
213	126	466
214	127	464
215	127	462
216	127	461
217	128	459
218	128	458
219	128	457
220	129	455
221	129	454
222	129	452
223	130	450
224	130	449
225	130	448
226	131	446
227	131	445
228	131	443
229	132	442
230	132	441
231	132	439
232	133	438
233	133	436
234	133	435
235	133	433
236	134	431
237	134	430
238	134	428
239	134	427
240	135	425
241	135	424
242	135	423
243	136	421
244	136	420
245	136	419
246	136	417
247	137	416
248	137	415
249	137	413
250	138	412
251	138	410
252	138	409
253	138	408
254	139	406
255	139	405
256	139	404
257	140	403
258	140	402
259	140	400
260	141	399
261	141	398
262	141	397
263	142	396
264	142	395
265	142	393
266	143	392
267	143	391
268	143	390
269	143	388
270	144	387
271	144	386
272	144	385
273	145	384
274	145	383
275	145	381
276	145	380
277	146	379
278	146	378
279	147	378
280	147	376
281	147	375
282	147	374
283	148	373
284	148	372
285	148	371
286	149	370
287	149	369
288	149	367
289	149	367
290	150	365
291	150	364
292	150	363
293	150	362
294	151	361
295	151	360
296	152	359
297	152	358
298	152	357
299	152	356
300	153	355
301	153	354
302	153	353
303	154	352
304	154	351
305	154	350
306	154	349
307	155	348
308	155	347
309	155	346
310	156	345
311	156	344
312	156	343
313	156	342
314	157	341
315	157	340
316	157	339
317	158	338
318	158	338
319	158	337
320	159	336
321	159	335
322	159	334
323	160	333
324	160	332
325	160	331
326	160	331
327	161	330
328	161	329
329	161	328
330	161	327
331	162	326
332	162	325
333	163	325
334	163	324
335	163	323
336	164	322
337	164	321
338	164	320
339	164	320
340	165	319
341	165	318
342	165	317
343	165	316
344	166	315
345	166	314
346	166	313
347	167	313
348	167	312
349	167	311
350	168	310
351	168	309
352	168	309
353	168	308
354	169	307
355	169	306
356	169	305
357	169	304
358	170	303
359	170	303
360	170	302
361	171	301
362	171	300
363	171	299
364	171	298
365	172	298
366	172	297
367	172	296
368	172	295
369	173	295
370	173	294
371	174	294
372	174	293
373	174	292
374	175	292
375	175	291
376	175	290
377	175	289
378	176	288
379	176	287
380	176	287
381	176	286
382	177	285
383	177	284
384	177	283
385	178	283
386	178	282
387	178	282
388	179	281
389	179	280
390	179	280
391	180	279
392	180	278
393	180	277
394	180	277
395	181	276
396	181	275
397	181	274
398	182	274
399	182	273
400	182	272
401	182	272
402	183	271
403	183	270
404	183	269
405	183	269
406	184	268
407	184	267
408	184	267
409	185	266
410	185	265
411	185	264
412	185	264
413	186	263
414	186	262
415	186	262
416	186	261
417	187	260
418	187	260
419	187	259
420	188	258
421	188	258
422	188	257
423	189	256
424	189	256
425	189	255
426	189	254
427	190	254
428	190	253
429	191	253
430	191	252
431	191	251
432	191	251
433	192	250
434	192	249
435	192	249
436	193	248
437	193	248
438	193	247
439	194	247
440	194	246
441	194	245
442	195	245
443	195	244
444	195	243
445	195	243
446	196	242
447	196	242
448	196	241
449	197	240
450	197	240
451	197	239
452	197	239
453	198	238
454	198	237
455	198	237
456	199	236
457	199	236
458	199	235
459	200	234
460	200	234
461	200	234
462	201	233
463	201	232
464	201	232
465	202	231
466	202	231
467	202	230
468	202	229
469	203	229
470	203	228
471	203	227
472	204	227
473	204	226
474	204	226
475	205	225
476	205	225
477	205	224
478	206	224
479	206	223
480	206	222
481	206	222
482	207	221
483	207	221
484	207	220
485	208	220
486	208	219
487	208	218
488	209	218
489	209	218
490	209	217
491	210	217
492	210	216
493	210	215
494	211	215
495	211	214
496	211	214
497	212	213
498	212	213
499	212	212
500	212	212
501	213	211
502	213	210
503	213	210
504	214	209
505	214	209
506	214	208
507	214	208
508	215	207
509	215	207
